ts,y
2025-08-09 01:00:00,0.8811
2025-08-09 02:00:00,0.8602
2025-08-09 03:00:00,0.8284
2025-08-09 04:00:00,0.8013
2025-08-09 05:00:00,0.7291
2025-08-09 06:00:00,0.725
2025-08-09 07:00:00,0.8038
2025-08-09 08:00:00,0.9088
2025-08-09 09:00:00,1.0284
2025-08-09 10:00:00,1.2101
2025-08-09 11:00:00,1.3612
2025-08-09 12:00:00,1.4672
2025-08-09 13:00:00,1.7263
2025-08-09 14:00:00,1.6696
2025-08-09 15:00:00,1.6303
2025-08-09 16:00:00,1.5193
2025-08-09 17:00:00,1.301
2025-08-09 18:00:00,1.2413
2025-08-09 19:00:00,1.1936
2025-08-09 20:00:00,1.0245
2025-08-09 21:00:00,1.0879
2025-08-09 22:00:00,0.94
2025-08-09 23:00:00,0.8625
2025-08-10 00:00:00,0.8573
2025-08-10 01:00:00,0.9106
2025-08-10 02:00:00,0.8473
2025-08-10 03:00:00,0.8177
2025-08-10 04:00:00,0.8362
2025-08-10 05:00:00,0.8846
2025-08-10 06:00:00,0.8109
2025-08-10 07:00:00,1.0025
2025-08-10 08:00:00,0.9609
2025-08-10 09:00:00,1.0943
2025-08-10 10:00:00,1.2441
2025-08-10 11:00:00,1.4119
2025-08-10 12:00:00,1.5017
2025-08-10 13:00:00,1.7272
2025-08-10 14:00:00,1.6164
2025-08-10 15:00:00,1.5286
2025-08-10 16:00:00,1.4571
2025-08-10 17:00:00,1.3198
2025-08-10 18:00:00,1.3063
2025-08-10 19:00:00,1.0888
2025-08-10 20:00:00,0.997
2025-08-10 21:00:00,0.9296
2025-08-10 22:00:00,1.0407
2025-08-10 23:00:00,0.8522
2025-08-11 00:00:00,0.7948
2025-08-11 01:00:00,0.8378
2025-08-11 02:00:00,0.8199
2025-08-11 03:00:00,0.828
2025-08-11 04:00:00,0.7985
2025-08-11 05:00:00,0.7777
2025-08-11 06:00:00,0.7583
2025-08-11 07:00:00,0.8006
2025-08-11 08:00:00,0.9812
2025-08-11 09:00:00,0.9763
2025-08-11 10:00:00,1.1838
2025-08-11 11:00:00,1.2987
2025-08-11 12:00:00,1.4408
2025-08-11 13:00:00,1.3814
2025-08-11 14:00:00,1.4698
2025-08-11 15:00:00,1.4501
2025-08-11 16:00:00,1.2426
2025-08-11 17:00:00,1.2379
2025-08-11 18:00:00,1.1545
2025-08-11 19:00:00,1.0213
2025-08-11 20:00:00,1.1065
2025-08-11 21:00:00,0.8917
2025-08-11 22:00:00,0.9716
2025-08-11 23:00:00,0.748
2025-08-12 00:00:00,0.7606
2025-08-12 01:00:00,0.8078
2025-08-12 02:00:00,0.8172
2025-08-12 03:00:00,0.784
2025-08-12 04:00:00,0.7773
2025-08-12 05:00:00,0.746
2025-08-12 06:00:00,0.8274
2025-08-12 07:00:00,0.8248
2025-08-12 08:00:00,0.969
2025-08-12 09:00:00,1.062
2025-08-12 10:00:00,1.1656
2025-08-12 11:00:00,1.3037
2025-08-12 12:00:00,1.3065
2025-08-12 13:00:00,1.3716
2025-08-12 14:00:00,1.4067
2025-08-12 15:00:00,1.3447
2025-08-12 16:00:00,1.2602
2025-08-12 17:00:00,1.0804
2025-08-12 18:00:00,1.1534
2025-08-12 19:00:00,1.0711
2025-08-12 20:00:00,0.8838
2025-08-12 21:00:00,0.9883
2025-08-12 22:00:00,0.9091
2025-08-12 23:00:00,0.7008
2025-08-13 00:00:00,0.7207
2025-08-13 01:00:00,0.7191
2025-08-13 02:00:00,0.7633
2025-08-13 03:00:00,0.8091
2025-08-13 04:00:00,0.7676
2025-08-13 05:00:00,0.6873
2025-08-13 06:00:00,0.7915
2025-08-13 07:00:00,0.8343
2025-08-13 08:00:00,0.8956
2025-08-13 09:00:00,1.0688
2025-08-13 10:00:00,1.1645
2025-08-13 11:00:00,1.232
2025-08-13 12:00:00,1.2909
2025-08-13 13:00:00,1.4209
2025-08-13 14:00:00,1.3208
2025-08-13 15:00:00,1.3391
2025-08-13 16:00:00,1.2295
2025-08-13 17:00:00,1.2256
2025-08-13 18:00:00,1.0073
2025-08-13 19:00:00,1.0018
2025-08-13 20:00:00,0.8933
2025-08-13 21:00:00,0.833
2025-08-13 22:00:00,0.8565
2025-08-13 23:00:00,0.7798
2025-08-14 00:00:00,0.8043
2025-08-14 01:00:00,0.7927
2025-08-14 02:00:00,0.8212
2025-08-14 03:00:00,0.8175
2025-08-14 04:00:00,0.7972
2025-08-14 05:00:00,0.7942
2025-08-14 06:00:00,0.8798
2025-08-14 07:00:00,0.9028
2025-08-14 08:00:00,0.9996
2025-08-14 09:00:00,1.0776
2025-08-14 10:00:00,1.1954
2025-08-14 11:00:00,1.2642
2025-08-14 12:00:00,1.3452
2025-08-14 13:00:00,1.3804
2025-08-14 14:00:00,1.3299
2025-08-14 15:00:00,1.3671
2025-08-14 16:00:00,1.1749
2025-08-14 17:00:00,1.0731
2025-08-14 18:00:00,1.1636
2025-08-14 19:00:00,0.9794
2025-08-14 20:00:00,0.9468
2025-08-14 21:00:00,0.9656
2025-08-14 22:00:00,0.8735
2025-08-14 23:00:00,0.7279
2025-08-15 00:00:00,0.7992
2025-08-15 01:00:00,0.7676
2025-08-15 02:00:00,0.8094
2025-08-15 03:00:00,0.834
2025-08-15 04:00:00,0.7982
2025-08-15 05:00:00,0.7854
2025-08-15 06:00:00,0.8135
2025-08-15 07:00:00,0.8562
2025-08-15 08:00:00,0.9409
2025-08-15 09:00:00,1.0528
2025-08-15 10:00:00,1.1371
2025-08-15 11:00:00,1.3035
2025-08-15 12:00:00,1.3386
2025-08-15 13:00:00,1.3509
2025-08-15 14:00:00,1.3464
2025-08-15 15:00:00,1.3292
2025-08-15 16:00:00,1.3455
2025-08-15 17:00:00,1.1635
2025-08-15 18:00:00,0.9756
2025-08-15 19:00:00,0.9254
2025-08-15 20:00:00,0.9259
2025-08-15 21:00:00,0.8883
2025-08-15 22:00:00,0.8781
2025-08-15 23:00:00,0.7656
2025-08-16 00:00:00,0.9457
2025-08-16 01:00:00,0.871
2025-08-16 02:00:00,0.9484
2025-08-16 03:00:00,0.9088
2025-08-16 04:00:00,0.9147
2025-08-16 05:00:00,0.8528
2025-08-16 06:00:00,0.8663
2025-08-16 07:00:00,0.9835
2025-08-16 08:00:00,1.0215
2025-08-16 09:00:00,1.195
2025-08-16 10:00:00,1.3093
2025-08-16 11:00:00,1.4535
2025-08-16 12:00:00,1.587
2025-08-16 13:00:00,1.5626
2025-08-16 14:00:00,1.4902
2025-08-16 15:00:00,1.4404
2025-08-16 16:00:00,1.3241
2025-08-16 17:00:00,1.2448
2025-08-16 18:00:00,1.1959
2025-08-16 19:00:00,1.0098
2025-08-16 20:00:00,0.9575
2025-08-16 21:00:00,0.8761
2025-08-16 22:00:00,0.9145
2025-08-16 23:00:00,0.8766
2025-08-17 00:00:00,0.9099
2025-08-17 01:00:00,0.897
2025-08-17 02:00:00,0.9795
2025-08-17 03:00:00,0.9408
2025-08-17 04:00:00,0.8714
2025-08-17 05:00:00,0.881
2025-08-17 06:00:00,0.9685
2025-08-17 07:00:00,0.981
2025-08-17 08:00:00,1.0669
2025-08-17 09:00:00,1.2071
2025-08-17 10:00:00,1.4113
2025-08-17 11:00:00,1.4301
2025-08-17 12:00:00,1.5233
2025-08-17 13:00:00,1.6012
2025-08-17 14:00:00,1.4837
2025-08-17 15:00:00,1.4756
2025-08-17 16:00:00,1.2701
2025-08-17 17:00:00,1.1563
2025-08-17 18:00:00,1.1599
2025-08-17 19:00:00,1.0585
2025-08-17 20:00:00,0.9764
2025-08-17 21:00:00,0.8306
2025-08-17 22:00:00,0.9465
2025-08-17 23:00:00,0.8311
2025-08-18 00:00:00,0.8795
2025-08-18 01:00:00,0.8002
2025-08-18 02:00:00,0.8583
2025-08-18 03:00:00,0.8846
2025-08-18 04:00:00,0.7879
2025-08-18 05:00:00,0.7897
2025-08-18 06:00:00,0.7836
2025-08-18 07:00:00,0.8456
2025-08-18 08:00:00,0.936
2025-08-18 09:00:00,1.1296
2025-08-18 10:00:00,1.2127
2025-08-18 11:00:00,1.2953
2025-08-18 12:00:00,1.3947
2025-08-18 13:00:00,1.466
2025-08-18 14:00:00,1.4239
2025-08-18 15:00:00,1.293
2025-08-18 16:00:00,1.1636
2025-08-18 17:00:00,1.148
2025-08-18 18:00:00,1.1328
2025-08-18 19:00:00,1.0356
2025-08-18 20:00:00,0.8817
2025-08-18 21:00:00,0.8725
2025-08-18 22:00:00,0.7928
2025-08-18 23:00:00,0.7196
2025-08-19 00:00:00,0.705
2025-08-19 01:00:00,0.7742
2025-08-19 02:00:00,0.793
2025-08-19 03:00:00,0.7542
2025-08-19 04:00:00,0.7329
2025-08-19 05:00:00,0.7883
2025-08-19 06:00:00,0.7284
2025-08-19 07:00:00,0.842
2025-08-19 08:00:00,0.8791
2025-08-19 09:00:00,1.1615
2025-08-19 10:00:00,1.1921
2025-08-19 11:00:00,1.2323
2025-08-19 12:00:00,1.3548
2025-08-19 13:00:00,1.4032
2025-08-19 14:00:00,1.5166
2025-08-19 15:00:00,1.3947
2025-08-19 16:00:00,1.2965
2025-08-19 17:00:00,1.2026
2025-08-19 18:00:00,1.0703
2025-08-19 19:00:00,1.0219
